Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Order Month,Order Year,Shipping Days,Discount Tiers
2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,CA,94109,West,Office Supplies,Binders,22.72,4,0.2,7.384,August,2014,5 days,10-20%
2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,NE,68025,Central,Office Supplies,Art,19.46,7,0.0,5.0596,December,2016,4 days,0%
2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,NE,68025,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,December,2016,4 days,0%
2017-07-16,2017-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,PA,19140,East,Furniture,Chairs,71.372,2,0.3,-1.0196,July,2017,2 days,20-30%
2015-09-25,2015-09-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,UT,84057,West,Furniture,Tables,1044.63,3,0.0,240.2649,September,2015,5 days,0%
2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,CA,90049,West,Office Supplies,Binders,11.648,2,0.2,4.2224,January,2016,4 days,10-20%
2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,CA,90049,West,Technology,Accessories,90.57,3,0.0,11.7741,January,2016,4 days,0%
2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,PA,19140,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,September,2015,4 days,>30%
2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,PA,19140,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,September,2015,4 days,>30%
2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,PA,19140,East,Furniture,Furnishings,124.2,3,0.2,15.525,September,2015,4 days,10-20%
2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,PA,19140,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,September,2015,4 days,10-20%
2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,PA,19140,East,Office Supplies,Art,86.304,6,0.2,9.7092,September,2015,4 days,10-20%
2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,PA,19140,East,Office Supplies,Binders,6.858,6,0.7,-5.715,September,2015,4 days,>30%
2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,PA,19140,East,Office Supplies,Art,15.76,2,0.2,3.546,September,2015,4 days,10-20%
2017-10-19,2017-10-23,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,TX,77095,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,October,2017,4 days,10-20%
2016-12-08,2016-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,TX,75080,Central,Technology,Phones,1097.544,7,0.2,123.4737,December,2016,2 days,10-20%
2016-12-08,2016-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,TX,75080,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,December,2016,2 days,>30%
2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,TX,77041,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,December,2015,4 days,10-20%
2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,TX,77041,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,December,2015,4 days,>30%
2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,TX,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.147,December,2015,4 days,20-30%
2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,TX,77041,Central,Technology,Phones,371.168,4,0.2,41.7564,December,2015,4 days,10-20%
2017-09-10,2017-09-15,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,IL,60540,Central,Technology,Phones,147.168,4,0.2,16.5564,September,2017,5 days,10-20%
2016-07-17,2016-07-22,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,CA,90049,West,Office Supplies,Storage,77.88,2,0.0,3.894,July,2016,5 days,0%
2017-09-19,2017-09-23,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,FL,32935,South,Office Supplies,Storage,95.616,2,0.2,9.5616,September,2017,4 days,10-20%
2016-03-11,2016-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,MN,55122,Central,Technology,Accessories,45.98,2,0.0,19.7714,March,2016,2 days,0%
2016-03-11,2016-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,MN,55122,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,March,2016,2 days,0%
2014-10-20,2014-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,MI,48185,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,October,2014,5 days,0%
2016-06-20,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,DE,19901,East,Technology,Accessories,45.0,3,0.0,4.95,June,2016,5 days,0%
2016-06-20,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,DE,19901,East,Technology,Phones,21.8,2,0.0,6.104,June,2016,5 days,0%
2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,IN,47150,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,April,2015,4 days,0%
2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,IN,47150,Central,Office Supplies,Labels,75.18,6,0.0,35.3346,April,2015,4 days,0%
2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,IN,47150,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,April,2015,4 days,0%
2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,IN,47150,Central,Furniture,Chairs,89.99,1,0.0,17.0981,April,2015,4 days,0%
2016-12-11,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,NY,10024,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566,December,2016,6 days,0%
2016-12-11,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,NY,10024,East,Technology,Phones,1029.95,5,0.0,298.6855,December,2016,6 days,0%
2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,NY,12180,East,Office Supplies,Storage,208.56,6,0.0,52.14,June,2016,1 days,0%
2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,NY,12180,East,Office Supplies,Paper,32.4,5,0.0,15.552,June,2016,1 days,0%
2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,NY,12180,East,Furniture,Chairs,319.41,5,0.1,7.098,June,2016,1 days,<10%
2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,NY,12180,East,Office Supplies,Paper,14.56,2,0.0,6.9888,June,2016,1 days,0%
2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,NY,12180,East,Technology,Accessories,30.0,2,0.0,3.3,June,2016,1 days,0%
2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,NY,12180,East,Office Supplies,Binders,48.48,4,0.2,16.362,June,2016,1 days,10-20%
2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,NY,12180,East,Office Supplies,Art,1.68,1,0.0,0.84,June,2016,1 days,0%
2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,CA,90004,West,Technology,Accessories,13.98,2,0.0,6.1512,November,2015,6 days,0%
2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,CA,90004,West,Office Supplies,Binders,25.824,6,0.2,9.3612,November,2015,6 days,10-20%
2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,CA,90004,West,Office Supplies,Paper,146.73,3,0.0,68.9631,November,2015,6 days,0%
2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,CA,90004,West,Furniture,Furnishings,79.76,4,0.0,22.3328,November,2015,6 days,0%
2015-04-30,2015-05-05,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,IL,60610,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,April,2015,5 days,20-30%
2014-12-05,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,AZ,85234,West,Office Supplies,Art,1113.024,8,0.2,111.3024,December,2014,5 days,10-20%
2014-12-05,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,AZ,85234,West,Technology,Phones,167.968,4,0.2,62.988,December,2014,5 days,10-20%
2016-06-04,2016-06-06,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,VA,22153,South,Office Supplies,Paper,75.88,2,0.0,35.6636,June,2016,2 days,0%
2016-09-18,2016-09-23,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,NY,10009,East,Office Supplies,Binders,4.616,1,0.2,1.731,September,2016,5 days,10-20%
2017-09-14,2017-09-17,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,MI,49201,Central,Office Supplies,Paper,19.05,3,0.0,8.763,September,2017,3 days,0%
2015-04-26,2015-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,TN,38109,South,Furniture,Chairs,831.936,8,0.2,-114.3912,April,2015,6 days,10-20%
2015-04-26,2015-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,TN,38109,South,Furniture,Furnishings,97.04,2,0.2,1.213,April,2015,6 days,10-20%
2015-04-26,2015-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,TN,38109,South,Office Supplies,Storage,72.784,1,0.2,-18.196,April,2015,6 days,10-20%
2017-12-09,2017-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,TX,77041,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,December,2017,2 days,>30%
2017-12-09,2017-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,TX,77041,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,December,2017,2 days,>30%
2017-12-09,2017-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,TX,77041,Central,Office Supplies,Storage,27.24,3,0.2,2.724,December,2017,2 days,10-20%
2014-11-26,2014-12-01,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,TX,77070,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,November,2014,5 days,>30%
2016-06-12,2016-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,AL,35601,South,Office Supplies,Appliances,208.16,1,0.0,56.2032,June,2016,3 days,0%
2016-06-12,2016-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,AL,35601,South,Office Supplies,Binders,16.74,3,0.0,8.0352,June,2016,3 days,0%
2014-10-12,2014-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,CA,94122,West,Office Supplies,Art,14.9,5,0.0,4.172,October,2014,4 days,0%
2014-10-12,2014-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,CA,94122,West,Office Supplies,Storage,21.39,1,0.0,6.2031,October,2014,4 days,0%
2015-09-03,2015-09-08,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,NC,27707,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,September,2015,5 days,10-20%
2017-11-13,2017-11-16,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,IL,60623,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,November,2017,3 days,10-20%
2017-05-28,2017-05-30,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,SC,29203,South,Furniture,Chairs,301.96,2,0.0,33.2156,May,2017,2 days,0%
2017-10-26,2017-11-02,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,MN,55901,Central,Technology,Accessories,19.99,1,0.0,6.7966,October,2017,7 days,0%
2017-10-26,2017-11-02,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,MN,55901,Central,Office Supplies,Labels,6.16,2,0.0,2.9568,October,2017,7 days,0%
2016-04-05,2016-04-10,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,TX,77095,Central,Office Supplies,Storage,158.368,7,0.2,13.8572,April,2016,5 days,10-20%
2016-09-17,2016-09-22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,CA,90036,West,Office Supplies,Art,20.1,3,0.0,6.633,September,2016,5 days,0%
2016-09-17,2016-09-22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,CA,90036,West,Technology,Phones,73.584,2,0.2,8.2782,September,2016,5 days,10-20%
2016-09-17,2016-09-22,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,CA,90036,West,Office Supplies,Paper,6.48,1,0.0,3.1104,September,2016,5 days,0%
2015-01-31,2015-02-05,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,MN,55407,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,January,2015,5 days,0%
2015-01-31,2015-02-05,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,MN,55407,Central,Furniture,Furnishings,53.34,3,0.0,16.5354,January,2015,5 days,0%
2015-01-31,2015-02-05,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,MN,55407,Central,Office Supplies,Binders,32.96,2,0.0,16.1504,January,2015,5 days,0%
2017-11-06,2017-11-12,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,OR,97206,West,Office Supplies,Binders,5.682,1,0.7,-3.788,November,2017,6 days,>30%
2017-11-09,2017-11-11,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,NY,10009,East,Furniture,Furnishings,96.53,7,0.0,40.5426,November,2017,2 days,0%
2017-06-17,2017-06-20,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,CA,94122,West,Office Supplies,Binders,51.312,3,0.2,17.9592,June,2017,3 days,10-20%
2016-09-06,2016-09-11,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,MN,55106,Central,Office Supplies,Appliances,77.88,6,0.0,22.5852,September,2016,5 days,0%
2016-08-29,2016-09-02,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,IL,60610,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,August,2016,4 days,10-20%
2016-08-29,2016-09-02,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,IL,60610,Central,Technology,Accessories,95.976,3,0.2,-10.7973,August,2016,4 days,10-20%
2016-08-29,2016-09-02,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,IL,60610,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,August,2016,4 days,>30%
2016-12-01,2016-12-04,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,MN,55901,Central,Office Supplies,Paper,23.92,4,0.0,11.7208,December,2016,3 days,0%
2015-11-13,2015-11-17,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,CO,80013,West,Technology,Accessories,238.896,6,0.2,-26.8758,November,2015,4 days,10-20%
2015-11-13,2015-11-17,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,CO,80013,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,November,2015,4 days,10-20%
2015-11-13,2015-11-17,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,CO,80013,West,Office Supplies,Binders,36.882,3,0.7,-25.8174,November,2015,4 days,>30%
2017-11-23,2017-11-28,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,NC,28205,South,Technology,Accessories,74.112,8,0.2,17.6016,November,2017,5 days,10-20%
2017-11-23,2017-11-28,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,NC,28205,South,Technology,Phones,27.992,1,0.2,2.0994,November,2017,5 days,10-20%
2017-11-23,2017-11-28,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,NC,28205,South,Office Supplies,Art,3.304,1,0.2,1.0738,November,2017,5 days,10-20%
2015-10-15,2015-10-20,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Orland Park,IL,60462,Central,Technology,Accessories,339.96,5,0.2,67.992,October,2015,5 days,10-20%
2017-12-25,2017-12-30,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,New York City,NY,10035,East,Furniture,Furnishings,41.96,2,0.0,10.9096,December,2017,5 days,0%
2016-11-03,2016-11-10,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,IA,50322,Central,Office Supplies,Art,75.96,2,0.0,22.788,November,2016,7 days,0%
2016-11-03,2016-11-10,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,IA,50322,Central,Office Supplies,Binders,27.24,6,0.0,13.3476,November,2016,7 days,0%
2014-08-25,2014-08-27,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,OH,43229,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348,August,2014,2 days,10-20%
2014-08-25,2014-08-27,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,OH,43229,East,Office Supplies,Envelopes,4.72,2,0.2,1.652,August,2014,2 days,10-20%
2014-08-25,2014-08-27,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,OH,43229,East,Office Supplies,Paper,23.976,3,0.2,7.4925,August,2014,2 days,10-20%
2014-08-25,2014-08-27,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,OH,43229,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,August,2014,2 days,10-20%
2015-03-02,2015-03-06,Standard Class,DK-13090,Dave Kipp,Consumer,United States,Seattle,WA,98103,West,Furniture,Tables,787.53,3,0.0,165.3813,March,2015,4 days,0%
2015-04-05,2015-04-10,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Bristol,TN,37620,South,Office Supplies,Binders,157.794,1,0.7,-115.7156,April,2015,5 days,>30%
2016-06-12,2016-06-15,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,DE,19805,East,Furniture,Furnishings,47.04,3,0.0,18.3456,June,2016,3 days,0%
2016-06-12,2016-06-15,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,DE,19805,East,Office Supplies,Binders,30.84,4,0.0,13.878,June,2016,3 days,0%
2016-06-12,2016-06-15,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,DE,19805,East,Office Supplies,Storage,226.56,6,0.0,63.4368,June,2016,3 days,0%
2016-06-12,2016-06-15,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,DE,19805,East,Office Supplies,Envelopes,115.02,9,0.0,51.759,June,2016,3 days,0%
2016-06-12,2016-06-15,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,DE,19805,East,Technology,Phones,68.04,7,0.0,19.7316,June,2016,3 days,0%
2014-12-26,2014-12-28,Second Class,AD-10180,Alan Dominguez,Home Office,United States,Houston,TX,77041,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,December,2014,2 days,20-30%
2014-09-20,2014-09-25,Standard Class,PF-19165,Philip Fox,Consumer,United States,Bloomington,IL,61701,Central,Furniture,Tables,617.7,6,0.5,-407.682,September,2014,5 days,>30%
2017-11-05,2017-11-12,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,AZ,85023,West,Office Supplies,Binders,2.388,2,0.7,-1.8308,November,2017,7 days,>30%
2017-11-05,2017-11-12,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,AZ,85023,West,Office Supplies,Storage,243.992,7,0.2,30.499,November,2017,7 days,10-20%
2016-11-06,2016-11-10,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,CA,90004,West,Furniture,Chairs,81.424,2,0.2,-9.1602,November,2016,4 days,10-20%
2016-11-06,2016-11-10,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,CA,90004,West,Furniture,Furnishings,238.56,3,0.0,26.2416,November,2016,4 days,0%
2017-02-02,2017-02-05,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,OH,43229,East,Technology,Phones,59.97,5,0.4,-11.994,February,2017,3 days,>30%
2017-02-02,2017-02-05,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,OH,43229,East,Office Supplies,Paper,78.304,2,0.2,29.364,February,2017,3 days,10-20%
2017-02-02,2017-02-05,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,OH,43229,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732,February,2017,3 days,10-20%
2016-10-13,2016-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,CA,95661,West,Office Supplies,Paper,20.04,3,0.0,9.6192,October,2016,6 days,0%
2016-10-13,2016-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,CA,95661,West,Office Supplies,Paper,35.44,1,0.0,16.6568,October,2016,6 days,0%
2016-10-13,2016-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,CA,95661,West,Office Supplies,Art,11.52,4,0.0,3.456,October,2016,6 days,0%
2016-10-13,2016-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,CA,95661,West,Office Supplies,Fasteners,4.02,2,0.0,1.9698,October,2016,6 days,0%
2016-10-13,2016-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,CA,95661,West,Office Supplies,Binders,76.176,3,0.2,26.6616,October,2016,6 days,10-20%
2016-10-13,2016-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,CA,95661,West,Office Supplies,Supplies,65.88,6,0.0,18.4464,October,2016,6 days,0%
2016-10-13,2016-10-19,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,CA,95661,West,Furniture,Furnishings,43.12,14,0.0,20.6976,October,2016,6 days,0%
2016-09-05,2016-09-07,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,PA,19140,East,Furniture,Furnishings,82.8,2,0.2,10.35,September,2016,2 days,10-20%
2017-09-18,2017-09-23,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,CA,94122,West,Office Supplies,Art,8.82,3,0.0,2.3814,September,2017,5 days,0%
2017-09-18,2017-09-23,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,CA,94122,West,Office Supplies,Envelopes,10.86,3,0.0,5.1042,September,2017,5 days,0%
2017-09-18,2017-09-23,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,CA,94122,West,Office Supplies,Paper,143.7,3,0.0,68.976,September,2017,5 days,0%
2017-12-22,2017-12-27,Standard Class,SG-20080,Sandra Glassco,Consumer,United States,Independence,MO,64055,Central,Office Supplies,Appliances,839.43,3,0.0,218.2518,December,2017,5 days,0%
2015-09-07,2015-09-12,Standard Class,HA-14920,Helen Andreada,Consumer,United States,Pasadena,CA,91104,West,Office Supplies,Storage,671.93,7,0.0,20.1579,September,2015,5 days,0%
